1,68575220.5689
2,49061948.6746
3,37774438.4238
4,17380978.0829
5,13874696.9235
6,11292997.7136
7,9701748.41084
8,7272197.13228
9,6102565.37576
10,5545673.48214
11,4213618.12909
12,3907037.11021
13,3538748.93185
14,2904745.2097
15,2451514.56621
16,2362925.43565
17,2080432.33265
18,1952625.62524
19,1810965.85306
20,1644631.58535
21,1623693.10056
22,1323443.87009
23,1153432.3069
24,1108596.46353
25,1068325.36109
26,1020835.7479
27,961424.576011
28,925341.89106
29,874260.990348
30,842129.300501
31,823608.728385
32,818902.731479
33,732560.985345
34,668460.754058
35,653974.883713
36,627915.441527
37,594630.549688
38,580084.655963
39,563308.014472
40,552209.451149
41,521679.027901
42,496823.228728
43,487736.939252
44,463191.181495
45,447982.83705
46,429162.680648
47,408865.126715
48,402646.286461
49,397726.067833
50,383171.059688
51,368270.810261
52,356381.407411
53,333822.810077
54,319041.992572
55,313029.686863
56,307423.448259
57,300322.884122
58,296397.353161
59,283505.548597
60,270215.682033
61,260171.064373
62,254998.355307
63,248438.544198
64,242691.331541
65,233010.273264
66,229715.526458
67,227329.079183
68,226474.881478
69,213657.903101
70,206737.266248
%71,205922.998962
%72,203208.400339
%73,190587.406213
%74,187876.032678
%75,182601.779557
%76,178948.747622
%77,172126.566412
%78,171263.862315
%79,167900.228437
%80,166846.033112
%81,163042.550474
%82,157151.743685
%83,154911.958862
%84,150706.824813
%85,147560.207467
%86,146222.02144
%87,143958.983309
%88,139814.56215
%89,136748.042923
%90,130132.89599
%91,127696.90328
%92,126994.795078
%93,125155.88099
%94,123230.428498
%95,122793.403135
%96,119462.543223
%97,117928.980758
%98,113771.31358
%99,111554.18603
%100,110401.403653
